"","image","true_pos_count","false_pos_count","false_neg_count","true_neg_count","recall","precision","noise_level","image_id"
"1","group/Output/KO_Pair1_L2R1_1-3_0_00_colocResults_0.csv",332,0,1,0,0.996996996996997,1,"0.00",1
"2","group/Output/KO_Pair1_L2R1_1-3_0_25_colocResults_0.csv",332,0,1,0,0.996996996996997,1,"0.25",2
"3","group/Output/KO_Pair1_L2R1_1-3_0_50_colocResults_0.csv",332,4,1,0,0.996996996996997,0.988095238095238,"0.50",3
"4","group/Output/KO_Pair1_L2R1_1-3_0_75_colocResults_0.csv",281,10,52,0,0.843843843843844,0.965635738831615,"0.75",4
"5","group/Output/KO_Pair1_L2R1_1-3_1_00_colocResults_0.csv",105,10,228,0,0.315315315315315,0.91304347826087,"1.00",5
"6","group/Output/KO_Pair1_L2R2_1-3_0_00_colocResults_0.csv",332,0,1,0,0.996996996996997,1,"0.00",6
"7","group/Output/KO_Pair1_L2R2_1-3_0_25_colocResults_0.csv",279,54,54,0,0.837837837837838,0.837837837837838,"0.25",7
"8","group/Output/KO_Pair1_L2R2_1-3_0_50_colocResults_0.csv",271,64,62,0,0.813813813813814,0.808955223880597,"0.50",8
"9","group/Output/KO_Pair1_L2R2_1-3_0_75_colocResults_0.csv",274,63,59,0,0.822822822822823,0.813056379821958,"0.75",9
"10","group/Output/KO_Pair1_L2R2_1-3_1_00_colocResults_0.csv",193,7,140,0,0.57957957957958,0.965,"1.00",10
"11","group/Output/KO_Pair1_L2R3_1-3_0_00_colocResults_0.csv",265,67,68,0,0.795795795795796,0.798192771084337,"0.00",11
"12","group/Output/KO_Pair1_L2R3_1-3_0_25_colocResults_0.csv",258,74,75,0,0.774774774774775,0.77710843373494,"0.25",12
"13","group/Output/KO_Pair1_L2R3_1-3_0_50_colocResults_0.csv",264,69,69,0,0.792792792792793,0.792792792792793,"0.50",13
"14","group/Output/KO_Pair1_L2R3_1-3_0_75_colocResults_0.csv",240,96,93,0,0.720720720720721,0.714285714285714,"0.75",14
"15","group/Output/KO_Pair1_L2R3_1-3_1_00_colocResults_0.csv",79,84,254,0,0.237237237237237,0.484662576687117,"1.00",15
"16","group/Output/KO_Pair2_L2R1_1-3_0_00_colocResults_0.csv",332,0,1,0,0.996996996996997,1,"0.00",16
"17","group/Output/KO_Pair2_L2R1_1-3_0_25_colocResults_0.csv",329,3,4,0,0.987987987987988,0.990963855421687,"0.25",17
"18","group/Output/KO_Pair2_L2R1_1-3_0_50_colocResults_0.csv",329,2,4,0,0.987987987987988,0.993957703927492,"0.50",18
"19","group/Output/KO_Pair2_L2R1_1-3_0_75_colocResults_0.csv",313,2,20,0,0.93993993993994,0.993650793650794,"0.75",19
"20","group/Output/KO_Pair2_L2R1_1-3_1_00_colocResults_0.csv",274,3,59,0,0.822822822822823,0.989169675090253,"1.00",20
"21","group/Output/KO_Pair2_L2R2_1-3_0_00_colocResults_0.csv",332,0,1,0,0.996996996996997,1,"0.00",21
"22","group/Output/KO_Pair2_L2R2_1-3_0_25_colocResults_0.csv",317,15,16,0,0.951951951951952,0.954819277108434,"0.25",22
"23","group/Output/KO_Pair2_L2R2_1-3_0_50_colocResults_0.csv",320,15,13,0,0.960960960960961,0.955223880597015,"0.50",23
"24","group/Output/KO_Pair2_L2R2_1-3_0_75_colocResults_0.csv",328,8,5,0,0.984984984984985,0.976190476190476,"0.75",24
"25","group/Output/KO_Pair2_L2R2_1-3_1_00_colocResults_0.csv",254,5,79,0,0.762762762762763,0.980694980694981,"1.00",25
"26","group/Output/KO_Pair2_L2R3_1-3_0_00_colocResults_0.csv",332,0,1,0,0.996996996996997,1,"0.00",26
"27","group/Output/KO_Pair2_L2R3_1-3_0_25_colocResults_0.csv",330,4,3,0,0.990990990990991,0.988023952095808,"0.25",27
"28","group/Output/KO_Pair2_L2R3_1-3_0_50_colocResults_0.csv",328,5,5,0,0.984984984984985,0.984984984984985,"0.50",28
"29","group/Output/KO_Pair2_L2R3_1-3_0_75_colocResults_0.csv",328,6,5,0,0.984984984984985,0.982035928143713,"0.75",29
"30","group/Output/KO_Pair2_L2R3_1-3_1_00_colocResults_0.csv",293,16,40,0,0.87987987987988,0.948220064724919,"1.00",30
"31","group/Output/KO_Pair3_L2R1_1-3_0_00_colocResults_0.csv",265,67,68,0,0.795795795795796,0.798192771084337,"0.00",31
"32","group/Output/KO_Pair3_L2R1_1-3_0_25_colocResults_0.csv",186,147,147,0,0.558558558558559,0.558558558558559,"0.25",32
"33","group/Output/KO_Pair3_L2R1_1-3_0_50_colocResults_0.csv",158,176,175,0,0.474474474474474,0.473053892215569,"0.50",33
"34","group/Output/KO_Pair3_L2R1_1-3_0_75_colocResults_0.csv",154,176,179,0,0.462462462462462,0.466666666666667,"0.75",34
